menu_route,view_class,view_file,shared_framework,header_implementation,toolbar_implementation,layout_type,action_buttons,signal_slot_wiring,keyboard_shortcuts,save_handler,error_handling,test_coverage,screen_fit,known_issue
dashboard,DashboardView,views/dashboard_view.py,Shared ERP UI Framework,ERPPageHeader,none,QVBoxLayout,Dispatch Summary | Refresh All | Refresh | Refresh | Refresh | Refresh | Refresh | Refresh | Refresh | Refresh | Refresh | Refresh | Refresh | Refresh | Refresh | Refresh | Refresh | Refresh | Refresh | Refresh | Refresh | Refresh | Refresh | Refresh | Refresh | Refresh | Refresh | Refresh,28/28 visible buttons wired,none declared locally,not an entry page / service action,guarded,"test_branding_ownership.py, test_data_maintenance_and_share.py, test_developer_dashboard.py, test_dispatch_navigation.py, test_document_and_module_ui.py",1366x768:PASS | 1440x900:PASS | 1920x1080:PASS,none found
delivery_challan_entry,SalesDocumentView,views/sales_document_view.py,Shared Transaction Entry Framework + Shared ERP UI Framework,TransactionHeader,"GridActionBar, TransactionToolbar",QVBoxLayout,New | Preview | Print | PDF | WhatsApp | Email | Save | Close | Delete | Export | Import | Refresh | Search | Add Row  F4 | Add Row / F4 | Delete Row | Import | Scan Barcode,18/18 visible buttons wired,Ctrl+F | Ctrl+N | Ctrl+P | Ctrl+S | Del | F10 | F3 | F4 | F8 | F9,save_draft,guarded + user message,test_document_and_module_ui.py,1366x768:PASS | 1440x900:PASS | 1920x1080:PASS,none found
developer_console,DeveloperConsoleView,views/developer_console_view.py,Shared ERP UI Framework,ERPPageHeader,none,QVBoxLayout,Refresh,1/1 visible buttons wired,none declared locally,not an entry page / service action,guarded + user message,test_document_and_module_ui.py,1366x768:PASS | 1440x900:PASS | 1920x1080:PASS,none found
dispatch_return_entry,DispatchReturnView,views/dispatch_return_view.py,Shared Transaction Entry Framework + Shared ERP UI Framework,TransactionHeader,"GridActionBar, TransactionToolbar",QVBoxLayout,New | Preview | Print | PDF | WhatsApp | Email | Save | Close | Delete | Export | Import | Refresh | Search | Show Items | Add Row / F4 | Delete Row | Import | Scan Barcode,18/18 visible buttons wired,Ctrl+S,not an entry page / service action,guarded + user message,test_document_and_module_ui.py,1366x768:PASS | 1440x900:PASS | 1920x1080:PASS,none found
document_center,DocumentCenterView,views/document_center_view.py,Shared ERP UI Framework,ERPPageHeader,CompactActionToolbar,QVBoxLayout,Show Bills | Export CSV | Convert Selected | Mark Accepted | Mark Ready | Close,6/6 visible buttons wired,none declared locally,not an entry page / service action,guarded + user message,"test_document_and_module_ui.py, test_print_and_report_parity.py",1366x768:PASS | 1440x900:PASS | 1920x1080:PASS,none found
document_hub,ModuleHubView,views/module_hub_view.py,Shared ERP UI Framework,ERPPageHeader,CompactActionToolbar,QVBoxLayout,Print Bills | Print Batches | Print Templates | Product Labels | Print Logs | Refresh | Show Options | Edit Selected | Cancel Selected | Print | Export CSV | Export PDF,12/12 visible buttons wired,none declared locally,not an entry page / service action,guarded + user message,test_document_and_module_ui.py,1366x768:PASS | 1440x900:PASS | 1920x1080:PASS,none found
employee_master,SimpleMasterView,views/simple_master_view.py,Shared ERP UI Framework,ERPPageHeader,CompactActionToolbar,QVBoxLayout,New | Save Employee / User | Refresh | Print,4/4 visible buttons wired,Ctrl+F | Ctrl+N | Ctrl+P | Ctrl+S | Esc | F10 | F3 | F8,save_draft,guarded + user message,test_document_and_module_ui.py,1366x768:PASS | 1440x900:PASS | 1920x1080:PASS,none found
erp_search,GlobalSearchView,views/global_search_view.py,Shared ERP UI Framework,ERPPageHeader,CompactActionToolbar,QVBoxLayout,Search | First | Previous | Next | Last,5/5 visible buttons wired,none declared locally,not an entry page / service action,no local handler (shared/service),test_dispatch_navigation.py,1366x768:PASS | 1440x900:PASS | 1920x1080:PASS,none found
excel_import,ExcelImportView,views/excel_import_view.py,Shared ERP UI Framework,ERPPageHeader,CompactActionToolbar,QVBoxLayout,Choose File | Save Import Draft | Post Import,3/3 visible buttons wired,none declared locally,not an entry page / service action,guarded + user message,none found,1366x768:PASS | 1440x900:PASS | 1920x1080:PASS,none found
expense_entry,AccountEntryView,views/account_entry_view.py,Shared Transaction Entry Framework + Shared ERP UI Framework,TransactionHeader,TransactionToolbar,QVBoxLayout,New | Preview | Print | PDF | WhatsApp | Email | Save | Close | Delete | Export | Import | Refresh | Search,13/13 visible buttons wired,Ctrl+P | Ctrl+S | Ctrl+W,save_draft,guarded + user message,test_document_and_module_ui.py,1366x768:PASS | 1440x900:PASS | 1920x1080:PASS,none found
financial_years,FinancialYearAdminView,views/financial_years_view.py,Shared ERP UI Framework,ERPPageHeader,CompactActionToolbar,QVBoxLayout,New | Save Year | Set Current | Open Year | Close Year | Lock Year | Delete | Refresh,8/8 visible buttons wired,none declared locally,not an entry page / service action,guarded + user message,"test_business_flow_lifecycle.py, test_document_and_module_ui.py",1366x768:PASS | 1440x900:PASS | 1920x1080:PASS,none found
gst_rate_master,SimpleMasterView,views/simple_master_view.py,Shared ERP UI Framework,ERPPageHeader,CompactActionToolbar,QVBoxLayout,New | Save GST Rate | Refresh | Print,4/4 visible buttons wired,Ctrl+F | Ctrl+N | Ctrl+P | Ctrl+S | Esc | F10 | F3 | F8,save_draft,guarded + user message,test_document_and_module_ui.py,1366x768:PASS | 1440x900:PASS | 1920x1080:PASS,none found
inventory,ModuleHubView,views/module_hub_view.py,Shared ERP UI Framework,ERPPageHeader,CompactActionToolbar,QVBoxLayout,Stock | Stock Entry | Stock Transfer | Transfer List | Stock Adjustment | Stock Alerts | Negative Stock | Expiry / Wastage | Vehicle Stock Out | Load Challans | Dispatch Return | Route Settlement | Warehouses | Stock Movement | Refresh | Show Options | Edit Selected | Cancel Selected | Print | Export CSV | Export PDF,21/21 visible buttons wired,none declared locally,not an entry page / service action,guarded + user message,"test_audit_tools.py, test_backup_and_transactions.py, test_branding_ownership.py, test_business_flow_lifecycle.py, test_data_maintenance_and_share.py, test_document_and_module_ui.py, test_installer_packaging.py, test_license_security.py, test_master_repository_and_industry.py, test_party_master.py, test_print_and_report_parity.py, test_sales_bill_add_item.py, test_ui_stabilization_cycle.py",1366x768:PASS | 1440x900:PASS | 1920x1080:PASS,none found
journal_entry,AccountEntryView,views/account_entry_view.py,Shared Transaction Entry Framework + Shared ERP UI Framework,TransactionHeader,TransactionToolbar,QVBoxLayout,New | Preview | Print | PDF | WhatsApp | Email | Save | Close | Delete | Export | Import | Refresh | Search,13/13 visible buttons wired,Ctrl+P | Ctrl+S | Ctrl+W,save_draft,guarded + user message,test_document_and_module_ui.py,1366x768:PASS | 1440x900:PASS | 1920x1080:PASS,none found
ledger_master,SimpleMasterView,views/simple_master_view.py,Shared ERP UI Framework,ERPPageHeader,CompactActionToolbar,QVBoxLayout,New | Save Ledger Head | Refresh | Print,4/4 visible buttons wired,Ctrl+F | Ctrl+N | Ctrl+P | Ctrl+S | Esc | F10 | F3 | F8,save_draft,guarded + user message,test_document_and_module_ui.py,1366x768:PASS | 1440x900:PASS | 1920x1080:PASS,none found
masters,ModuleHubView,views/module_hub_view.py,Shared ERP UI Framework,ERPPageHeader,CompactActionToolbar,QVBoxLayout,Categories | Products | Customers | Suppliers | Brands | Schemes / Offers | Units | GST Rates | Banks | Tax Codes | Payment Terms | Excel Import | Product Labels | Employees | Refresh | Show Options | Edit Selected | Cancel Selected | Print | Export CSV | Export PDF,21/21 visible buttons wired,none declared locally,not an entry page / service action,guarded + user message,"test_document_and_module_ui.py, test_gst_master_flow.py, test_master_repository_and_industry.py",1366x768:PASS | 1440x900:PASS | 1920x1080:PASS,none found
migration_backlog,QWidget,,Qt page framework,none,none,QVBoxLayout,,0/0 visible buttons wired,none declared locally,not an entry page / service action,not inspectable,"test_operator_keyboard_flow.py, test_smart_combo.py",1366x768:PASS | 1440x900:PASS | 1920x1080:PASS,none found
numbering_series,NumberingSeriesAdminView,views/numbering_series_view.py,Shared ERP UI Framework,ERPPageHeader,CompactActionToolbar,QVBoxLayout,New | Save Series | Preview | Refresh,4/4 visible buttons wired,none declared locally,not an entry page / service action,guarded + user message,"test_document_and_module_ui.py, test_financial_year_and_numbering_engines.py",1366x768:PASS | 1440x900:PASS | 1920x1080:PASS,none found
payment_entry,AccountEntryView,views/account_entry_view.py,Shared Transaction Entry Framework + Shared ERP UI Framework,TransactionHeader,TransactionToolbar,QVBoxLayout,New | Preview | Print | PDF | WhatsApp | Email | Save | Close | Delete | Export | Import | Refresh | Search,13/13 visible buttons wired,Ctrl+P | Ctrl+S | Ctrl+W,save_draft,guarded + user message,"test_backup_and_transactions.py, test_document_and_module_ui.py",1366x768:PASS | 1440x900:PASS | 1920x1080:PASS,none found
payment_term_master,SimpleMasterView,views/simple_master_view.py,Shared ERP UI Framework,ERPPageHeader,CompactActionToolbar,QVBoxLayout,New | Save Payment Terms | Refresh | Print,4/4 visible buttons wired,Ctrl+F | Ctrl+N | Ctrl+P | Ctrl+S | Esc | F10 | F3 | F8,save_draft,guarded + user message,test_document_and_module_ui.py,1366x768:PASS | 1440x900:PASS | 1920x1080:PASS,none found
product_labels,LabelPrintView,views/label_print_view.py,Shared ERP UI Framework,ERPPageHeader,CompactActionToolbar,QVBoxLayout,Save Batch | Refresh | Export CSV | Add Label | Clear Batch,5/5 visible buttons wired,none declared locally,not an entry page / service action,guarded + user message,none found,1366x768:PASS | 1440x900:PASS | 1920x1080:PASS,none found
product_master,ProductMasterView,views/product_master_view.py,Shared ERP UI Framework,ERPPageHeader,CompactActionToolbar,QVBoxLayout,New | Save Product | Refresh | Copy Product | Advanced | Import | Export | Print | Close | Add Pack | Duplicate Pack | Remove Selected,12/12 visible buttons wired,Ctrl+F | Ctrl+N | Ctrl+P | Ctrl+S | Del | Esc | F10 | F3 | F4 | F8,save_draft,guarded + user message,"test_document_and_module_ui.py, test_installer_packaging.py, test_product_master_flow.py, test_ui_stabilization_cycle.py",1366x768:PASS | 1440x900:PASS | 1920x1080:PASS,none found
purchase,ModuleHubView,views/module_hub_view.py,Shared ERP UI Framework,ERPPageHeader,CompactActionToolbar,QVBoxLayout,Buy Stock | Purchase List | Purchase Order | PO List | Purchase Return | Debit Notes | Supplier Ledger | Refresh | Show Options | Edit Selected | Cancel Selected | Print | Export CSV | Export PDF,14/14 visible buttons wired,none declared locally,not an entry page / service action,guarded + user message,"test_backup_and_transactions.py, test_business_flow_lifecycle.py, test_document_and_module_ui.py, test_gst_master_flow.py, test_installer_packaging.py, test_master_repository_and_industry.py, test_print_and_report_parity.py, test_product_conversion_pipeline.py, test_product_master_flow.py, test_sales_bill_add_item.py, test_ui_stabilization_cycle.py",1366x768:PASS | 1440x900:PASS | 1920x1080:PASS,none found
purchase_entry,PurchaseEntryView,views/purchase_entry_view.py,Shared Transaction Entry Framework + Shared ERP UI Framework,TransactionHeader,"GridActionBar, TransactionToolbar",QVBoxLayout,New | Preview | Print | PDF | WhatsApp | Email | Save | Close | Delete | Export | Import | Refresh | Search | Add Item Row  F4 | Add Row / F4 | Delete Row | Import | Scan Barcode,18/18 visible buttons wired,Ctrl+F | Ctrl+N | Ctrl+P | Ctrl+S | Ctrl+W | Del | F10 | F3 | F4 | F8 | F9,save_draft,guarded + user message,"test_document_and_module_ui.py, test_installer_packaging.py, test_ui_stabilization_cycle.py",1366x768:PASS | 1440x900:PASS | 1920x1080:PASS,none found
purchase_order_entry,PurchaseDocumentView,views/purchase_document_view.py,Shared Transaction Entry Framework + Shared ERP UI Framework,TransactionHeader,"GridActionBar, TransactionToolbar",QVBoxLayout,New | Preview | Print | PDF | WhatsApp | Email | Save | Close | Delete | Export | Import | Refresh | Search | Add Row  F4 | Add Row / F4 | Delete Row | Import | Scan Barcode,18/18 visible buttons wired,Ctrl+F | Ctrl+N | Ctrl+P | Ctrl+S | Del | F10 | F3 | F4 | F8 | F9,save_draft,guarded + user message,"test_document_and_module_ui.py, test_ui_stabilization_cycle.py",1366x768:PASS | 1440x900:PASS | 1920x1080:PASS,none found
purchase_return_entry,PurchaseDocumentView,views/purchase_document_view.py,Shared Transaction Entry Framework + Shared ERP UI Framework,TransactionHeader,"GridActionBar, TransactionToolbar",QVBoxLayout,New | Preview | Print | PDF | WhatsApp | Email | Save | Close | Delete | Export | Import | Refresh | Search | Load Original Items | Add Row  F4 | Add Row / F4 | Delete Row | Import | Scan Barcode,19/19 visible buttons wired,Ctrl+F | Ctrl+N | Ctrl+P | Ctrl+S | Del | F10 | F3 | F4 | F8 | F9,save_draft,guarded + user message,test_document_and_module_ui.py,1366x768:PASS | 1440x900:PASS | 1920x1080:PASS,none found
quotation_entry,SalesDocumentView,views/sales_document_view.py,Shared Transaction Entry Framework + Shared ERP UI Framework,TransactionHeader,"GridActionBar, TransactionToolbar",QVBoxLayout,New | Preview | Print | PDF | WhatsApp | Email | Save | Close | Delete | Export | Import | Refresh | Search | Add Row  F4 | Add Row / F4 | Delete Row | Import | Scan Barcode,18/18 visible buttons wired,Ctrl+F | Ctrl+N | Ctrl+P | Ctrl+S | Del | F10 | F3 | F4 | F8 | F9,save_draft,guarded + user message,"test_document_and_module_ui.py, test_ui_stabilization_cycle.py",1366x768:PASS | 1440x900:PASS | 1920x1080:PASS,none found
receipt_entry,AccountEntryView,views/account_entry_view.py,Shared Transaction Entry Framework + Shared ERP UI Framework,TransactionHeader,TransactionToolbar,QVBoxLayout,New | Preview | Print | PDF | WhatsApp | Email | Save | Close | Delete | Export | Import | Refresh | Search,13/13 visible buttons wired,Ctrl+P | Ctrl+S | Ctrl+W,save_draft,guarded + user message,"test_backup_and_transactions.py, test_document_and_module_ui.py",1366x768:PASS | 1440x900:PASS | 1920x1080:PASS,none found
reports,ReportCenterView,views/report_center_view.py,Shared ERP UI Framework,ERPPageHeader,CompactActionToolbar,QVBoxLayout,First | Previous | Next | Last | Run | Print | Email | Export CSV | Export PDF | Prepare GST JSON,10/10 visible buttons wired,none declared locally,not an entry page / service action,guarded + user message,"test_business_flow_lifecycle.py, test_data_maintenance_and_share.py, test_dispatch_navigation.py, test_dispatch_report_totals.py, test_document_and_module_ui.py, test_print_and_report_parity.py",1366x768:PASS | 1440x900:PASS | 1920x1080:PASS,none found
route_master,SimpleMasterView,views/simple_master_view.py,Shared ERP UI Framework,ERPPageHeader,CompactActionToolbar,QVBoxLayout,New | Save Route | Refresh | Print,4/4 visible buttons wired,Ctrl+F | Ctrl+N | Ctrl+P | Ctrl+S | Esc | F10 | F3 | F8,save_draft,guarded + user message,test_document_and_module_ui.py,1366x768:PASS | 1440x900:PASS | 1920x1080:PASS,none found
route_settlement,RouteSettlementView,views/route_settlement_view.py,Shared Transaction Entry Framework + Shared ERP UI Framework,TransactionHeader,TransactionToolbar,QVBoxLayout,New | Preview | Print | PDF | WhatsApp | Email | Save | Close | Delete | Export | Import | Refresh | Search,13/13 visible buttons wired,none declared locally,save_draft,guarded + user message,test_document_and_module_ui.py,1366x768:PASS | 1440x900:PASS | 1920x1080:PASS,none found
sales,ModuleHubView,views/module_hub_view.py,Shared ERP UI Framework,ERPPageHeader,CompactActionToolbar,QVBoxLayout,Sales Bill | Sales List | Quotation | Quotation List | Sales Order | Order List | Delivery Challan | DC List | Sales Return | Return List | Refresh | Show Options | Edit Selected | Cancel Selected | Print | Export CSV | Export PDF,17/17 visible buttons wired,none declared locally,not an entry page / service action,guarded + user message,"test_backup_and_transactions.py, test_business_flow_lifecycle.py, test_data_maintenance_and_share.py, test_developer_dashboard.py, test_dispatch_navigation.py, test_document_and_module_ui.py, test_gst_master_flow.py, test_gst_summary_template_persistence.py, test_installer_packaging.py, test_master_repository_and_industry.py, test_print_and_report_parity.py, test_sales_bill_add_item.py, test_sales_calculator.py, test_ui_stabilization_cycle.py",1366x768:PASS | 1440x900:PASS | 1920x1080:PASS,none found
sales_bill,SalesBillView,views/sales_bill_view.py,Shared Transaction Entry Framework + Shared ERP UI Framework,TransactionHeader,"GridActionBar, TransactionToolbar",QVBoxLayout,New | Preview | Print | PDF | WhatsApp | Email | Save | Close | Delete | Export | Import | Refresh | Search | More Details | Add Item Row  F4 | Add Row / F4 | Delete Row | Import | Scan Barcode,19/19 visible buttons wired,Alt+B | Ctrl+F | Ctrl+N | Ctrl+P | Ctrl+S | Ctrl+W | Del | F10 | F3 | F4 | F8 | F9,save_draft,guarded + user message,"test_document_and_module_ui.py, test_installer_packaging.py, test_sales_bill_add_item.py, test_ui_stabilization_cycle.py",1366x768:PASS | 1440x900:PASS | 1920x1080:PASS,none found
sales_order_entry,SalesDocumentView,views/sales_document_view.py,Shared Transaction Entry Framework + Shared ERP UI Framework,TransactionHeader,"GridActionBar, TransactionToolbar",QVBoxLayout,New | Preview | Print | PDF | WhatsApp | Email | Save | Close | Delete | Export | Import | Refresh | Search | Add Row  F4 | Add Row / F4 | Delete Row | Import | Scan Barcode,18/18 visible buttons wired,Ctrl+F | Ctrl+N | Ctrl+P | Ctrl+S | Del | F10 | F3 | F4 | F8 | F9,save_draft,guarded + user message,"test_document_and_module_ui.py, test_ui_stabilization_cycle.py",1366x768:PASS | 1440x900:PASS | 1920x1080:PASS,none found
sales_return_entry,SalesDocumentView,views/sales_document_view.py,Shared Transaction Entry Framework + Shared ERP UI Framework,TransactionHeader,"GridActionBar, TransactionToolbar",QVBoxLayout,New | Preview | Print | PDF | WhatsApp | Email | Save | Close | Delete | Export | Import | Refresh | Search | Load Original Items | Add Row  F4 | Add Row / F4 | Delete Row | Import | Scan Barcode,19/19 visible buttons wired,Ctrl+F | Ctrl+N | Ctrl+P | Ctrl+S | Del | F10 | F3 | F4 | F8 | F9,save_draft,guarded + user message,test_document_and_module_ui.py,1366x768:PASS | 1440x900:PASS | 1920x1080:PASS,none found
salesman_master,SimpleMasterView,views/simple_master_view.py,Shared ERP UI Framework,ERPPageHeader,CompactActionToolbar,QVBoxLayout,New | Save Salesman | Refresh | Print,4/4 visible buttons wired,Ctrl+F | Ctrl+N | Ctrl+P | Ctrl+S | Esc | F10 | F3 | F8,save_draft,guarded + user message,test_document_and_module_ui.py,1366x768:PASS | 1440x900:PASS | 1920x1080:PASS,none found
scheme_master,SchemeMasterView,views/scheme_master_view.py,Shared ERP UI Framework,ERPPageHeader,CompactActionToolbar,QVBoxLayout,Save Draft | Refresh,2/2 visible buttons wired,none declared locally,save_draft,guarded + user message,test_document_and_module_ui.py,1366x768:PASS | 1440x900:PASS | 1920x1080:PASS,none found
stock_adjustment_entry,InventoryEntryView,views/inventory_entry_view.py,Shared Transaction Entry Framework + Shared ERP UI Framework,TransactionHeader,"GridActionBar, TransactionToolbar",QVBoxLayout,New | Preview | Print | PDF | WhatsApp | Email | Save | Close | Delete | Export | Import | Refresh | Search | Add Row  F4 | Add Row / F4 | Delete Row | Import | Scan Barcode,18/18 visible buttons wired,Ctrl+S | Del | F4,save_draft,guarded + user message,test_document_and_module_ui.py,1366x768:PASS | 1440x900:PASS | 1920x1080:PASS,none found
stock_dashboard,StockDashboardView,views/stock_dashboard_view.py,Qt page framework,none,none,QVBoxLayout,Refresh,1/1 visible buttons wired,none declared locally,not an entry page / service action,guarded,none found,1366x768:PASS | 1440x900:PASS | 1920x1080:PASS,none found
stock_entry_entry,InventoryEntryView,views/inventory_entry_view.py,Shared Transaction Entry Framework + Shared ERP UI Framework,TransactionHeader,"GridActionBar, TransactionToolbar",QVBoxLayout,New | Preview | Print | PDF | WhatsApp | Email | Save | Close | Delete | Export | Import | Refresh | Search | Add Row  F4 | Add Row / F4 | Delete Row | Import | Scan Barcode,18/18 visible buttons wired,Ctrl+S | Del | F4,save_draft,guarded + user message,test_document_and_module_ui.py,1366x768:PASS | 1440x900:PASS | 1920x1080:PASS,none found
stock_out_entry,StockOutView,views/stock_out_view.py,Shared Transaction Entry Framework + Shared ERP UI Framework,TransactionHeader,"GridActionBar, TransactionToolbar",QVBoxLayout,New | Preview | Print | PDF | WhatsApp | Email | Save | Close | Delete | Export | Import | Refresh | Search | Add Row  F4 | Add Row / F4 | Delete Row | Import | Scan Barcode,18/18 visible buttons wired,Ctrl+S | Del | F4,save_draft,guarded + user message,test_document_and_module_ui.py,1366x768:PASS | 1440x900:PASS | 1920x1080:PASS,none found
stock_transfer_entry,InventoryEntryView,views/inventory_entry_view.py,Shared Transaction Entry Framework + Shared ERP UI Framework,TransactionHeader,"GridActionBar, TransactionToolbar",QVBoxLayout,New | Preview | Print | PDF | WhatsApp | Email | Save | Close | Delete | Export | Import | Refresh | Search | Add Row  F4 | Add Row / F4 | Delete Row | Import | Scan Barcode,18/18 visible buttons wired,Ctrl+S | Del | F4,save_draft,guarded + user message,test_document_and_module_ui.py,1366x768:PASS | 1440x900:PASS | 1920x1080:PASS,none found
supplier_master,PartyMasterView,views/party_master_view.py,Shared ERP UI Framework,ERPPageHeader,CompactActionToolbar,QVBoxLayout,New | Save Supplier | Refresh | Print,4/4 visible buttons wired,Ctrl+E | Ctrl+F | Ctrl+N | Ctrl+P | Ctrl+S | Esc | F10 | F2 | F3 | F8,save_draft,guarded + user message,none found,1366x768:PASS | 1440x900:PASS | 1920x1080:PASS,none found
tax_master,SimpleMasterView,views/simple_master_view.py,Shared ERP UI Framework,ERPPageHeader,CompactActionToolbar,QVBoxLayout,New | Save Tax Code | Refresh | Print,4/4 visible buttons wired,Ctrl+F | Ctrl+N | Ctrl+P | Ctrl+S | Esc | F10 | F3 | F8,save_draft,guarded + user message,"test_document_and_module_ui.py, test_gst_master_flow.py, test_master_repository_and_industry.py",1366x768:PASS | 1440x900:PASS | 1920x1080:PASS,none found
transporter_master,SimpleMasterView,views/simple_master_view.py,Shared ERP UI Framework,ERPPageHeader,CompactActionToolbar,QVBoxLayout,New | Save Transporter | Refresh | Print,4/4 visible buttons wired,Ctrl+F | Ctrl+N | Ctrl+P | Ctrl+S | Esc | F10 | F3 | F8,save_draft,guarded + user message,test_document_and_module_ui.py,1366x768:PASS | 1440x900:PASS | 1920x1080:PASS,none found
ui_rules,QWidget,,Qt page framework,none,none,QVBoxLayout,,0/0 visible buttons wired,none declared locally,not an entry page / service action,not inspectable,"test_operator_keyboard_flow.py, test_smart_combo.py",1366x768:PASS | 1440x900:PASS | 1920x1080:PASS,none found
unit_master,SimpleMasterView,views/simple_master_view.py,Shared ERP UI Framework,ERPPageHeader,CompactActionToolbar,QVBoxLayout,New | Save Unit | Refresh | Print,4/4 visible buttons wired,Ctrl+F | Ctrl+N | Ctrl+P | Ctrl+S | Esc | F10 | F3 | F8,save_draft,guarded + user message,test_document_and_module_ui.py,1366x768:PASS | 1440x900:PASS | 1920x1080:PASS,none found
vehicle_master,SimpleMasterView,views/simple_master_view.py,Shared ERP UI Framework,ERPPageHeader,CompactActionToolbar,QVBoxLayout,New | Save Vehicle | Refresh | Print,4/4 visible buttons wired,Ctrl+F | Ctrl+N | Ctrl+P | Ctrl+S | Esc | F10 | F3 | F8,save_draft,guarded + user message,test_document_and_module_ui.py,1366x768:PASS | 1440x900:PASS | 1920x1080:PASS,none found
